PACKET_ID,PACKET_TYPE_Control_Packet,CONTROL_PACKET_TYPE_DIO,CONTROL_PACKET_TYPE_App1_CBR,CONTROL_PACKET_TYPE_DAO,SOURCE_ID,RECEIVER_ID,NW_LAYER_ARRIVAL_TIME(US),MAC_LAYER_ARRIVAL_TIME(US),PHY_LAYER_OVERHEAD(Bytes),PACKET_STATUS_Successful,PACKET_STATUS_Collided,Class Type
494,0,0,1,0,1,5,48414789,48414789,0,1,0,0
4,0,0,1,0,1,5,359808,359808,0,1,0,0
312,0,0,1,0,1,4,30535368,30535368,0,1,0,0
481,0,0,1,0,1,4,47162739,47162739,0,1,0,0
0,1,0,0,0,1,12,5110000,5110000,6,0,1,1
76,0,0,1,0,1,4,7546642,7546642,0,1,0,0
170,0,0,1,0,1,4,16661276,16661276,0,1,0,0
0,1,1,0,0,5,15,69597839,69597839,6,1,0,1
0,1,0,0,0,10,3,3394000,3394000,6,1,0,2
162,0,0,1,0,1,5,15933521,15933521,0,1,0,0
228,0,0,1,0,1,5,38475764,38475764,0,1,0,2
0,1,0,0,0,1,13,13100000,13100000,6,0,1,1
80,0,0,1,0,1,3,1580000,1580000,6,1,0,0
497,0,0,1,0,1,5,48698256,48698256,0,1,0,0
248,0,0,1,0,1,5,24335942,24335942,0,1,0,0
341,0,0,1,0,1,4,53257682,53257682,0,1,0,2
488,0,0,1,0,1,3,9740000,9740000,6,1,0,0
384,0,0,1,0,1,3,7660000,7660000,6,1,0,0
518,0,0,1,0,1,5,50791537,50791537,0,1,0,0
512,0,0,1,0,1,5,50270208,50270208,0,1,0,0
341,0,0,1,0,1,5,33390033,33390033,0,1,0,0
0,1,0,0,0,2,4,29740634,29740634,0,1,0,2
507,0,0,1,0,1,4,49706809,49706809,0,1,0,0
0,1,1,0,0,13,12,13744688,13744688,6,0,1,1
0,1,0,0,0,10,3,2123000,2123000,6,0,1,2
170,0,0,1,0,1,3,3380000,3380000,6,1,0,0
359,0,0,1,0,1,4,35164274,35164274,0,1,0,0
21,0,0,1,0,1,4,2103452,2103452,0,1,0,0
0,1,1,0,0,11,5,92799938,92799938,6,0,1,1
134,0,0,1,0,1,5,21139782,21139782,0,1,0,2
204,0,0,1,0,1,3,4060000,4060000,6,1,0,0
0,1,0,0,0,1,2,14260000,14260000,6,0,1,1
0,1,0,0,0,2,5,27895365,27895365,0,1,0,2
535,0,0,1,0,1,3,10680000,10680000,6,1,0,0
0,1,0,0,1,12,13,51059521,51059521,6,1,0,0
378,0,0,1,0,1,5,37074629,37074629,0,1,0,0
504,0,0,1,0,2,6,97916998,97916998,6,1,0,0
549,0,0,1,0,1,5,53823459,53823459,0,1,0,0
273,0,0,1,0,1,5,26820691,26820691,0,1,0,0
0,1,0,0,0,1,11,9670000,9670000,6,0,1,1
58,0,0,1,0,1,3,1140000,1140000,6,1,0,0
486,0,0,1,0,1,3,9700000,9700000,6,1,0,0
177,0,0,1,0,1,5,30164932,30164932,0,1,0,2
190,0,0,1,0,1,5,18615770,18615770,0,1,0,0
164,0,0,1,0,1,5,16114518,16114518,0,1,0,0
445,0,0,1,0,2,7,86464508,86464508,0,1,0,0
415,0,0,1,0,1,5,40697967,40697967,0,1,0,0
0,1,1,0,0,15,14,9829997,9829997,6,0,1,1
414,0,0,1,0,1,5,40522484,40522484,0,1,0,0
0,1,0,0,0,10,9,6695000,6695000,6,1,0,1
374,0,0,1,0,1,4,36591085,36591085,0,1,0,0
384,0,0,1,0,1,3,7660000,7660000,6,1,0,0
0,1,0,0,0,10,5,22884413,22884413,0,1,0,2
426,0,0,1,0,1,3,8500000,8500000,6,1,0,0
111,0,0,1,0,1,5,10904798,10904798,0,1,0,0
265,0,0,1,0,1,5,41290343,41290343,0,1,0,2
0,1,0,0,0,10,3,4593000,4593000,6,0,1,2
217,0,0,1,0,1,4,21279679,21279679,0,1,0,0
0,1,0,0,0,1,12,40485000,40485000,6,0,1,1
13,0,0,1,0,1,5,1273255,1273255,0,1,0,0
445,0,0,1,0,1,3,8880000,8880000,6,1,0,0
406,0,0,1,0,1,5,39802663,39802663,0,1,0,0
0,1,0,0,0,10,2,9900000,9900000,6,0,1,1
264,0,0,1,0,1,3,5260000,5260000,6,1,0,2
191,0,0,1,0,1,4,18792579,18792579,0,1,0,0
276,0,0,1,0,1,5,27080922,27080922,0,1,0,0
453,0,0,1,0,1,3,9040000,9040000,6,1,0,0
378,0,0,1,0,1,5,37064131,37064131,0,1,0,0
0,1,0,0,0,1,4,12255000,12255000,6,0,1,1
133,0,0,1,0,1,5,21079777,21079777,0,1,0,2
0,1,1,0,0,4,1,21818431,21818431,6,0,1,1
349,0,0,1,0,1,5,34180361,34180361,0,1,0,0
0,1,0,0,0,6,3,2376000,2376000,6,1,0,2
422,0,0,1,0,2,8,82007943,82007943,0,1,0,0
0,1,0,0,0,6,3,2116000,2116000,6,0,1,2
170,0,0,1,0,1,4,16688032,16688032,0,1,0,0
0,1,0,0,0,10,5,38587951,38587951,0,1,0,2
0,1,1,0,0,2,9,2016155,2016155,6,0,1,1
0,1,1,0,0,11,4,14205920,14205920,6,0,1,1
0,1,0,0,0,1,2,9240000,9240000,6,1,0,1
0,1,1,0,0,5,14,13683133,13683133,6,0,1,1
243,0,0,1,0,1,3,4840000,4840000,6,1,0,0
108,0,0,1,0,1,4,10661191,10661191,0,1,0,0
254,0,0,1,0,1,5,42992732,42992732,0,1,0,2
483,0,0,1,0,1,5,47402186,47402186,0,1,0,0
0,1,0,0,0,2,5,37616498,37616498,0,1,0,2
424,0,0,1,0,1,3,8460000,8460000,6,1,0,0
0,1,1,0,0,3,2,16194033,16194033,6,0,1,1
183,0,0,1,0,1,4,17958436,17958436,0,1,0,0
235,0,0,1,0,2,8,45630526,45630526,0,1,0,0
0,1,0,0,0,2,4,67072039,67072039,0,1,0,2
445,0,0,1,0,1,5,43649457,43649457,0,1,0,0
0,1,0,0,0,10,14,16020000,16020000,6,0,1,1
503,0,0,1,0,1,4,49332287,49332287,0,1,0,0
176,0,0,1,0,1,5,27600352,27600352,0,1,0,2
250,0,0,1,0,1,5,24565577,24565577,0,1,0,0
19,0,0,1,0,1,3,360000,360000,6,1,0,0
0,1,1,0,0,13,5,22360976,22360976,6,0,1,1
0,1,0,0,0,10,5,60050055,60050055,0,1,0,2
0,1,1,0,0,14,12,70759839,70759839,6,1,0,1
356,0,0,1,0,1,4,34905671,34905671,0,1,0,0
0,1,1,0,0,15,5,23193706,23193706,6,0,1,1
0,1,0,0,0,1,13,7645000,7645000,6,1,0,1
304,0,0,1,0,1,5,29770938,29770938,0,1,0,0
523,0,0,1,0,1,4,51257862,51257862,0,1,0,0
0,1,1,0,0,15,5,17881347,17881347,6,0,1,1
179,0,0,1,0,1,3,3560000,3560000,6,1,0,0
0,1,0,0,0,2,3,2133000,2133000,6,0,1,2
0,1,0,0,0,2,5,18951839,18951839,0,1,0,2
0,1,1,0,0,6,2,22104212,22104212,6,1,0,1
0,1,0,0,0,10,14,43100000,43100000,6,1,0,1
0,1,0,0,0,6,4,21640787,21640787,0,1,0,2
0,1,0,0,0,10,2,9955000,9955000,6,0,1,1
442,0,0,1,0,2,6,85847706,85847706,6,1,0,0
0,1,1,0,0,6,9,16444976,16444976,6,0,1,1
524,0,0,1,0,1,3,10460000,10460000,6,1,0,0
87,0,0,1,0,1,4,8630124,8630124,0,1,0,0
0,1,0,0,0,6,5,37074403,37074403,0,1,0,2
169,0,0,1,0,1,4,16644089,16644089,0,1,0,0
443,0,0,1,0,1,4,43394072,43394072,0,1,0,0
180,0,0,1,0,1,5,30643727,30643727,0,1,0,2
250,0,0,1,0,2,7,48504318,48504318,0,1,0,0
0,1,0,0,0,1,13,39095000,39095000,6,1,0,1
549,0,0,1,0,1,3,10960000,10960000,6,1,0,0
518,0,0,1,0,1,3,10340000,10340000,6,1,0,0
178,0,0,1,0,1,5,17529458,17529458,0,1,0,0
0,1,1,0,0,6,10,10701777,10701777,6,1,0,1
0,1,0,0,0,10,3,2260000,2260000,6,1,0,2
342,0,0,1,0,1,3,6820000,6820000,6,1,0,0
462,0,0,1,0,1,5,45316267,45316267,0,1,0,0
347,0,0,1,0,1,5,58716961,58716961,0,1,0,2
557,0,0,1,0,1,3,11120000,11120000,6,1,0,0
0,1,0,0,0,10,9,6505000,6505000,6,0,1,1
0,1,0,0,0,10,3,7022000,7022000,6,0,1,2
510,0,0,1,0,2,6,99084994,99084994,6,1,0,0
134,0,0,1,0,1,3,2660000,2660000,6,1,0,0
393,0,0,1,0,1,5,38495742,38495742,0,1,0,0
506,0,0,1,0,1,5,49633215,49633215,0,1,0,0
0,1,0,0,0,1,5,7705000,7705000,6,0,1,1
177,0,0,1,0,1,3,3520000,3520000,6,1,0,0
0,1,0,0,0,10,4,41882963,41882963,0,1,0,2
0,1,0,0,1,14,9,14012910,14012910,6,0,1,1
0,1,0,0,0,10,6,15860000,15860000,6,0,1,1
0,1,0,0,0,6,5,60363741,60363741,0,1,0,2
404,0,0,1,0,1,3,8060000,8060000,6,1,0,0
189,0,0,1,0,1,5,18518635,18518635,0,1,0,0
0,1,1,0,0,5,13,22123069,22123069,6,1,0,1
205,0,0,1,0,1,5,34694045,34694045,0,1,0,2
0,1,0,0,0,2,4,37592024,37592024,0,1,0,2
0,1,1,0,0,11,4,14833752,14833752,6,0,1,1
204,0,0,1,0,1,5,20095226,20095226,0,1,0,0
41,0,0,1,0,1,5,4059396,4059396,0,1,0,0
0,1,1,0,0,13,5,25485561,25485561,6,0,1,1
0,1,0,0,0,10,6,45085000,45085000,6,1,0,1
0,1,0,0,0,1,4,9030000,9030000,6,0,1,1
310,0,0,1,0,1,4,30382863,30382863,0,1,0,0
392,0,0,1,0,1,3,7820000,7820000,6,1,0,0
76,0,0,1,0,1,3,1500000,1500000,6,1,0,0
0,1,0,0,0,10,4,49109899,49109899,0,1,0,2
366,0,0,1,0,1,5,61926656,61926656,0,1,0,2
0,1,0,0,0,6,5,47608528,47608528,0,1,0,2
431,0,0,1,0,2,6,83706380,83706380,6,1,0,0
457,0,0,1,0,2,6,88767696,88767696,6,1,0,0
0,1,0,0,0,2,5,17468094,17468094,0,1,0,2
307,0,0,1,0,1,5,51969662,51969662,0,1,0,2
48,0,0,1,0,1,3,940000,940000,6,1,0,0
0,1,1,0,0,13,6,7744354,7744354,6,1,0,0
503,0,0,1,0,1,4,49308091,49308091,0,1,0,0
299,0,0,1,0,1,5,46739672,46739672,0,1,0,2
0,1,1,0,0,12,11,16679367,16679367,6,1,0,1
478,0,0,1,0,2,8,92948348,92948348,0,1,0,0
0,1,0,0,1,9,6,90018237,90018237,6,1,0,0
243,0,0,1,0,1,4,41126578,41126578,0,1,0,2
0,1,0,0,0,2,3,2625000,2625000,6,1,0,2
486,0,0,1,0,1,4,47640125,47640125,0,1,0,0
0,1,0,0,0,1,13,38820000,38820000,6,1,0,1
548,0,0,1,0,1,3,10940000,10940000,6,1,0,0
0,1,1,0,0,8,6,207724,207724,6,1,0,0
411,0,0,1,0,1,4,40247352,40247352,0,1,0,0
364,0,0,1,0,1,3,7260000,7260000,6,1,0,0
70,0,0,1,0,1,3,1380000,1380000,6,1,0,0
0,1,1,0,0,13,11,72973743,72973743,6,0,1,1
0,1,1,0,0,3,10,463162,463162,6,1,0,0
468,0,0,1,0,2,7,90955524,90955524,0,1,0,0
0,1,0,0,1,11,13,93043659,93043659,6,1,0,0
375,0,0,1,0,1,5,36756695,36756695,0,1,0,0
237,0,0,1,0,1,5,23323529,23323529,0,1,0,0
0,1,1,0,0,11,4,9921380,9921380,6,0,1,1
432,0,0,1,0,2,6,83901046,83901046,6,1,0,0
349,0,0,1,0,1,5,34167623,34167623,0,1,0,0
126,0,0,1,0,1,4,12406834,12406834,0,1,0,0
364,0,0,1,0,1,3,7260000,7260000,6,1,0,0
0,1,1,0,0,9,15,22337486,22337486,6,1,0,1
0,1,0,0,0,1,2,6405000,6405000,6,0,1,1
223,0,0,1,0,1,4,37544152,37544152,0,1,0,2
0,1,1,0,0,15,14,16020263,16020263,6,0,1,1
0,1,0,0,0,1,2,52320000,52320000,6,0,1,1
0,1,0,0,1,3,9,54016605,54016605,6,0,1,0
468,0,0,1,0,2,8,91039833,91039833,0,1,0,0
0,1,1,0,0,5,12,25947146,25947146,6,1,0,1
475,0,0,1,0,2,8,92295254,92295254,0,1,0,0
0,1,0,0,0,10,9,43500000,43500000,6,0,1,1
0,1,1,0,0,13,11,72878935,72878935,6,1,0,1
0,1,0,0,1,5,9,89001274,89001274,6,1,0,0
286,0,0,1,0,1,4,28042749,28042749,0,1,0,0
0,1,1,0,0,13,1,58779856,58779856,6,1,0,2
0,1,1,0,0,6,8,32053343,32053343,6,1,0,2
164,0,0,1,0,1,4,16172174,16172174,0,1,0,0
137,0,0,1,0,1,3,2720000,2720000,6,1,0,2
304,0,0,1,0,1,5,29851846,29851846,0,1,0,0
0,1,0,0,0,6,3,6252000,6252000,6,1,0,2
0,1,0,0,0,10,3,3193000,3193000,6,1,0,2
0,1,1,0,0,6,9,16929648,16929648,6,0,1,1
369,0,0,1,0,1,5,36156698,36156698,0,1,0,0
242,0,0,1,0,1,4,23771903,23771903,0,1,0,0
367,0,0,1,0,1,5,35888787,35888787,0,1,0,0
313,0,0,1,0,1,5,30715925,30715925,0,1,0,0
447,0,0,1,0,1,3,8920000,8920000,6,1,0,0
297,0,0,1,0,1,5,29086383,29086383,0,1,0,0
0,1,1,0,0,15,5,69400059,69400059,6,0,1,1
530,0,0,1,0,1,5,51999531,51999531,0,1,0,0
0,1,1,0,0,13,15,12597770,12597770,6,0,1,1
0,1,1,0,0,15,13,25210025,25210025,6,1,0,1
285,0,0,1,0,1,3,5680000,5680000,6,1,0,0
464,0,0,1,0,2,7,90149784,90149784,0,1,0,0
0,1,1,0,0,5,11,16462677,16462677,6,1,0,1
0,1,1,0,0,5,15,13764918,13764918,6,0,1,1
0,1,0,0,0,10,4,24125508,24125508,0,1,0,2
318,0,0,1,0,1,4,53706903,53706903,0,1,0,2
0,1,0,0,0,2,5,64378949,64378949,0,1,0,2
95,0,0,1,0,1,4,9381408,9381408,0,1,0,0
285,0,0,1,0,1,4,48181160,48181160,0,1,0,2
118,0,0,1,0,1,3,2340000,2340000,6,1,0,0
0,1,1,0,0,3,11,10145047,10145047,6,1,0,1
0,1,0,0,0,10,2,14650000,14650000,6,0,1,1
519,0,0,1,0,1,3,10360000,10360000,6,1,0,0
500,0,0,1,0,2,7,97227819,97227819,0,1,0,0
334,0,0,1,0,1,3,6660000,6660000,6,1,0,0
279,0,0,1,0,2,8,54170034,54170034,0,1,0,0
59,0,0,1,0,2,8,14061932,14061932,0,1,0,1
466,0,0,1,0,1,5,45679682,45679682,0,1,0,0
0,1,1,0,0,5,1,21811806,21811806,6,0,0,1
0,1,1,0,0,13,15,14931123,14931123,6,1,0,1
157,0,0,1,0,1,4,15464269,15464269,0,1,0,0
328,0,0,1,0,1,3,6540000,6540000,6,1,0,0
200,0,0,1,0,1,3,3980000,3980000,6,1,0,0
481,0,0,1,0,2,8,93490326,93490326,0,1,0,0
290,0,0,1,0,1,3,5780000,5780000,6,1,0,0
0,1,0,0,0,10,3,3780000,3780000,6,1,0,2
206,0,0,1,0,1,5,20240433,20240433,0,1,0,0
354,0,0,1,0,1,5,59884954,59884954,0,1,0,2
497,0,0,1,0,1,3,9920000,9920000,6,1,0,0
12,0,0,1,0,1,3,220000,220000,6,1,0,0
0,1,1,0,0,5,13,25116400,25116400,6,0,1,1
211,0,0,1,0,1,3,4200000,4200000,6,1,0,0
527,0,0,1,0,1,3,10520000,10520000,6,1,0,0
400,0,0,1,0,1,4,39194551,39194551,0,1,0,0
443,0,0,1,0,1,5,43445969,43445969,0,1,0,0
276,0,0,1,0,1,5,46567230,46567230,0,1,0,2
0,1,0,0,0,1,5,12905000,12905000,6,0,1,1
0,1,1,0,0,7,11,3774483,3774483,6,1,0,0
0,1,1,0,0,5,2,18500733,18500733,6,0,1,1
0,1,0,0,0,1,11,14425000,14425000,6,0,1,1
450,0,0,1,0,1,5,44155612,44155612,0,1,0,0
354,0,0,1,0,1,4,34716841,34716841,0,1,0,0
0,1,0,0,0,10,3,3245000,3245000,6,0,1,2
250,0,0,1,0,1,5,42194466,42194466,0,1,0,2
129,0,0,1,0,1,4,21990831,21990831,0,1,0,2
123,0,0,1,0,1,3,2440000,2440000,6,1,0,0
105,0,0,1,0,1,4,10389915,10389915,0,1,0,0
295,0,0,1,0,1,5,28901909,28901909,0,1,0,0
0,1,0,0,0,10,3,4477000,4477000,6,1,0,2
445,0,0,1,0,2,6,86431704,86431704,6,1,0,0
0,1,1,0,0,9,13,11705101,11705101,6,0,1,1
0,1,1,0,0,5,2,10444136,10444136,6,0,1,1
202,0,0,1,0,1,3,4020000,4020000,6,1,0,0
68,0,0,1,0,1,5,6685872,6685872,0,1,0,0
0,1,0,0,1,12,13,96002375,96002375,6,1,0,0
12,0,0,1,0,1,5,1159893,1159893,0,1,0,0
0,1,0,0,1,3,9,53048328,53048328,6,1,0,0
0,1,1,0,0,3,9,69440136,69440136,6,0,0,1
229,0,0,1,0,1,5,22478279,22478279,0,1,0,0
339,0,0,1,0,1,4,57401191,57401191,0,1,0,2
502,0,0,1,0,2,6,97527666,97527666,6,1,0,0
0,1,1,0,0,14,9,22084530,22084530,6,1,0,1
346,0,0,1,0,1,4,33894510,33894510,0,1,0,0
0,1,1,0,0,4,12,18173162,18173162,6,0,1,1
0,1,0,0,0,1,2,6970000,6970000,6,1,0,1
499,0,0,1,0,1,5,48987452,48987452,0,1,0,0
0,1,1,0,0,11,13,72039295,72039295,6,1,0,1
557,0,0,1,0,1,4,54706642,54706642,0,1,0,0
0,1,1,0,0,13,5,24502971,24502971,6,0,1,1
0,1,0,0,0,1,11,39440000,39440000,6,1,0,1
0,1,1,0,0,5,4,23874323,23874323,6,1,0,1
0,1,0,0,0,1,11,38425000,38425000,6,1,0,1
0,1,0,0,0,1,13,8805000,8805000,6,1,0,1
0,1,0,0,0,2,5,22535655,22535655,0,1,0,2
124,0,0,1,0,1,4,19767028,19767028,0,1,0,2
269,0,0,1,0,1,3,5360000,5360000,6,1,0,0
153,0,0,1,0,1,3,3040000,3040000,6,1,0,0
402,0,0,1,0,1,4,39439931,39439931,0,1,0,0
46,0,0,1,0,1,4,4547904,4547904,0,1,0,0
370,0,0,1,0,1,5,36225157,36225157,0,1,0,0
0,1,1,0,0,12,9,18482266,18482266,6,0,1,1
455,0,0,1,0,2,6,88378364,88378364,6,1,0,0
313,0,0,1,0,1,3,6240000,6240000,6,1,0,0
0,1,0,0,0,2,3,4918000,4918000,6,1,0,2
0,1,1,0,0,13,1,70236736,70236736,6,0,1,1
487,0,0,1,0,1,5,47770050,47770050,0,1,0,0
0,1,0,0,0,2,3,4861000,4861000,6,1,0,2
418,0,0,1,0,1,4,40958502,40958502,0,1,0,0
176,0,0,1,0,1,5,27683302,27683302,0,1,0,2
0,1,0,0,0,2,4,25629401,25629401,0,1,0,2
198,0,0,1,0,1,4,19436740,19436740,0,1,0,0
396,0,0,1,0,1,5,38749253,38749253,0,1,0,0
0,1,0,0,0,10,9,44975000,44975000,6,1,0,1
0,1,1,0,0,11,9,73485558,73485558,6,0,0,1
236,0,0,1,0,1,5,23198389,23198389,0,1,0,0
237,0,0,1,0,2,7,45980989,45980989,0,1,0,0
507,0,0,1,0,1,3,10120000,10120000,6,1,0,0
0,1,1,0,0,6,2,68770318,68770318,6,0,1,1
383,0,0,1,0,1,5,37506183,37506183,0,1,0,0
0,1,0,0,0,6,5,59569955,59569955,0,1,0,2
379,0,0,1,0,1,3,7560000,7560000,6,1,0,0
0,1,1,0,0,13,5,11331924,11331924,6,0,1,1
298,0,0,1,0,1,4,29253592,29253592,0,1,0,0
451,0,0,1,0,2,8,87650986,87650986,0,1,0,0
6,0,0,1,0,1,5,596929,596929,0,1,0,0
0,1,1,0,0,11,14,71188837,71188837,6,1,0,1
0,1,0,0,0,10,5,33875675,33875675,0,1,0,2
0,1,1,0,0,15,9,9788577,9788577,6,0,1,1
293,0,0,1,0,1,5,28716888,28716888,0,1,0,0
0,1,0,0,0,1,13,41075000,41075000,6,1,0,1
334,0,0,1,0,1,4,52294045,52294045,0,1,0,2
0,1,1,0,0,13,1,9286819,9286819,6,1,0,1
0,1,0,0,0,10,9,7990000,7990000,6,1,0,1
0,1,1,0,0,3,11,18455124,18455124,6,0,1,1
462,0,0,1,0,2,8,89841052,89841052,0,1,0,0
500,0,0,1,0,2,7,97216041,97216041,0,1,0,0
0,1,0,0,0,10,3,2334000,2334000,6,1,0,2
464,0,0,1,0,1,4,45512472,45512472,0,1,0,0
0,1,0,0,0,1,12,11885000,11885000,6,1,0,1
270,0,0,1,0,1,4,26458251,26458251,0,1,0,0
269,0,0,1,0,2,6,52170488,52170488,6,1,0,0
184,0,0,1,0,1,3,3660000,3660000,6,1,0,0
471,0,0,1,0,2,8,91505132,91505132,0,1,0,0
0,1,0,0,0,6,3,4430000,4430000,6,1,0,2
464,0,0,1,0,2,7,90177500,90177500,0,1,0,0
